rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Blank Space,Taylor Swift,8,8,0,2015-01-03,2015,1
2,Take Me To Church,Hozier,19,19,0,2015-01-03,2015,1
3,Uptown Funk!,Mark Ronson Featuring Bruno Mars,6,6,0,2015-01-03,2015,1
4,Thinking Out Loud,Ed Sheeran,6,11,6,2015-01-03,2015,1
5,Lips Are Movin,Meghan Trainor,4,4,9,2015-01-03,2015,1
6,I'm Not The Only One,Sam Smith,5,5,16,2015-01-03,2015,1
7,Love Me Harder,Ariana Grande & The Weeknd,9,11,9,2015-01-03,2015,1
8,Jealous,Nick Jonas,11,15,11,2015-01-03,2015,1
9,Animals,Maroon 5,8,3,18,2015-01-03,2015,1
10,All About That Bass,Meghan Trainor,7,1,24,2015-01-03,2015,1
11,Shake It Off,Taylor Swift,10,1,18,2015-01-03,2015,1
12,I Don't F**k With You,Big Sean Featuring E-40,14,11,13,2015-01-03,2015,1
13,The Heart Wants What It Wants,Selena Gomez,6,7,6,2015-01-03,2015,1
14,Wasted Love,Matt McAndrew,-,1,-,2015-01-03,2015,1
15,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",12,12,8,2015-01-03,2015,1
16,Habits (Stay High),Tove Lo,15,3,30,2015-01-03,2015,1
17,Tuesday,I LOVE MAKONNEN Featuring Drake,16,12,13,2015-01-03,2015,1
18,Waves,Mr. Probz,14,14,0,2015-01-03,2015,1
19,Don't,Ed Sheeran,17,9,28,2015-01-03,2015,1
20,Centuries,Fall Out Boy,26,15,26,2015-01-03,2015,1
21,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,23,12,4,2015-01-03,2015,1
22,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",19,3,21,2015-01-03,2015,1
23,No Type,Rae Sremmurd,22,16,13,2015-01-03,2015,1
24,7/11,Beyonce,20,13,4,2015-01-03,2015,1
25,Hot Boy,Bobby Shmurda,24,6,21,2015-01-03,2015,1
26,Blame,Calvin Harris Featuring John Newman,21,19,15,2015-01-03,2015,1
27,Stay With Me,Sam Smith,25,2,37,2015-01-03,2015,1
28,CoCo,O.T. Genasis,27,27,5,2015-01-03,2015,1
29,Beg For It,Iggy Azalea Featuring M0,28,28,9,2015-01-03,2015,1
30,Don't Tell 'Em,Jeremih Featuring YG,29,6,26,2015-01-03,2015,1
31,I Don't Mind,Usher Featuring Juicy J,37,5,37,2015-01-03,2015,1
32,Riptide,Vance Joy,26,26,0,2015-01-03,2015,1
33,Black Widow,Iggy Azalea Featuring Rita Ora,30,3,25,2015-01-03,2015,1
34,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,-,1,-,2015-01-03,2015,1
35,All I Want For Christmas Is You,Mariah Carey,40,21,10,2015-01-03,2015,1
36,Heroes (We Could Be),Alesso Featuring Tove Lo,35,35,12,2015-01-03,2015,1
37,Trumpets,Jason Derulo,31,14,30,2015-01-03,2015,1
38,Shotgun Rider,Tim McGraw,39,12,39,2015-01-03,2015,1
39,Stolen Dance,Milky Chance,42,22,42,2015-01-03,2015,1
40,Chandelier,Sia,34,8,33,2015-01-03,2015,1
41,Something In The Water,Carrie Underwood,38,24,12,2015-01-03,2015,1
42,Santa Tell Me,Ariana Grande,64,4,64,2015-01-03,2015,1
43,Feeling Myself,Nicki Minaj Featuring Beyonce,-,1,-,2015-01-03,2015,1
44,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,33,16,23,2015-01-03,2015,1
45,Rather Be,Clean Bandit Featuring Jess Glynne,36,10,28,2015-01-03,2015,1
46,Try Me,DeJ Loaf,45,45,9,2015-01-03,2015,1
47,Ghost,Ella Henderson,57,8,57,2015-01-03,2015,1
48,Anaconda,Nicki Minaj,55,2,20,2015-01-03,2015,1
49,Rude,MAGIC!,43,1,35,2015-01-03,2015,1
50,Night Changes,One Direction,53,31,5,2015-01-03,2015,1
51,Talladega,Eric Church,9,9,0,2015-01-03,2015,1
52,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,47,43,16,2015-01-03,2015,1
53,Velvet,Chris Jamison,-,1,-,2015-01-03,2015,1
54,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",44,39,16,2015-01-03,2015,1
55,L.A.LOVE (la la),Fergie,41,27,11,2015-01-03,2015,1
56,About The Money,T.I. Featuring Young Thug,50,42,20,2015-01-03,2015,1
57,Sun Daze,Florida Georgia Line,58,9,58,2015-01-03,2015,1
58,"Mary, Did You Know?",Pentatonix,48,26,5,2015-01-03,2015,1
59,Perfect Storm,Brad Paisley,52,52,11,2015-01-03,2015,1
60,I Bet My Life,Imagine Dragons,63,53,7,2015-01-03,2015,1
61,I See You,Luke Bryan,4,4,0,2015-01-03,2015,1
62,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,-,4,-,2015-01-03,2015,1
63,Lost Without U,Chris Jamison & Adam Levine,-,1,-,2015-01-03,2015,1
64,I Lived,OneRepublic,67,4,67,2015-01-03,2015,1
65,Masterpiece,Jessie J,-,1,-,2015-01-03,2015,1
66,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,54,54,3,2015-01-03,2015,1
67,Til It's Gone,Kenny Chesney,68,8,68,2015-01-03,2015,1
68,Dangerous,David Guetta Featuring Sam Martin,60,56,9,2015-01-03,2015,1
69,Prayer In C,Lillywood & Robin Schulz,79,3,79,2015-01-03,2015,1
70,Steal My Girl,One Direction,13,12,13,2015-01-03,2015,1
71,Close Your Eyes,Parmalee,69,69,13,2015-01-03,2015,1
72,Drinking Class,Lee Brice,10,10,0,2015-01-03,2015,1
73,Just Gettin' Started,Jason Aldean,84,61,4,2015-01-03,2015,1
74,Soldier,Damien,-,1,-,2015-01-03,2015,1
75,Sledgehammer,Fifth Harmony,94,4,94,2015-01-03,2015,1
76,Make Me Wanna,Thomas Rhett,80,6,80,2015-01-03,2015,1
77,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,87,6,87,2015-01-03,2015,1
78,God Made Girls,RaeLynn,71,61,9,2015-01-03,2015,1
79,She Knows,Ne-Yo Featuring Juicy J,85,5,85,2015-01-03,2015,1
80,Somewhere In My Car,Keith Urban,65,49,17,2015-01-03,2015,1
81,Often,The Weeknd,74,74,10,2015-01-03,2015,1
82,Mean To Me,Brett Eldredge,7,7,0,2015-01-03,2015,1
83,Lost Stars,Matt McAndrew & Adam Levine,-,1,-,2015-01-03,2015,1
